sch_id,name,def,cq_template,paper_template,papercq_template
Example,EXAMPLE,"This scheme involves reasoning from a specific case or instance to a general conclusion, suggesting that what holds in the example applies more broadly.",Is the example representative of the broader category or situation? Are there significant counterexamples that undermine the generalization? Is the example relevant to the conclusion being draw,Is it actually the case that '<subjectA>' '<featF>' '<featG>'? Is there evidence on this claim? Is '<subjectA>' actually a typical case of other '<subject>' that '<featF>'? How widely applicable is the generalisation? Are there special circumstances pertaining to '<subjectA>' that undermine its generalisability to other '<subject>' that '<featF>'?,"Is the example representative of the broader category or situation? Are there significant counterexamples that undermine the generalization? Is the example relevant to the conclusion being draw

Is it actually the case that '<subjectA>' '<featF>' '<featG>'? Is there evidence on this claim? Is '<subjectA>' actually a typical case of other '<subject>' that '<featF>'? How widely applicable is the generalisation? Are there special circumstances pertaining to '<subjectA>' that undermine its generalisability to other '<subject>' that '<featF>'?"
CauseToEffect,CAUSE TO EFFECT,"This scheme reasons that if a certain cause occurs, it will lead to a specific effect, based on a causal relationship.",Is there sufficient evidence that the cause reliably produces the effect? Could other factors intervene to prevent the effect from occurring? Is the causal link based on correlation rather than proven causation?,How strong is the generalisation that if '<eventA>' then '<eventB>'? Are there other factors in this particular case that could have interfered with the event of '<eventB>'?,"Is there sufficient evidence that the cause reliably produces the effect? Could other factors intervene to prevent the effect from occurring? Is the causal link based on correlation rather than proven causation?

How strong is the generalisation that if '<eventA>' then '<eventB>'? Are there other factors in this particular case that could have interfered with the event of '<eventB>'?"
PracticalReasoning,PRACTICAL REASONING,"This scheme involves an agent reasoning from a goal to an action that is a means to achieve that goal (e.g., ""I want G, doing A achieves G, so I should do A"").",What other goals might conflict with G? Are there alternative actions to A that could also achieve G? Is A the most efficient means to achieve G? Is it practically possible for me to carry out A? What are the potential side effects or consequences of doing A?,"Are there other relevant goals that conflict with '<goalG>'? Are there alternative actions to '<eventA>' to achieve '<goalG>'? If so, which is the most efficient action? Could '<eventA>' have consequences that we should take into account? Is it practically possible?","What other goals might conflict with G? Are there alternative actions to A that could also achieve G? Is A the most efficient means to achieve G? Is it practically possible for me to carry out A? What are the potential side effects or consequences of doing A?

Are there other relevant goals that conflict with '<goalG>'? Are there alternative actions to '<eventA>' to achieve '<goalG>'? If so, which is the most efficient action? Could '<eventA>' have consequences that we should take into account? Is it practically possible?"
Consequences,CONSEQUENCES,"This scheme bases a conclusion on the positive or negative outcomes of a proposed action, arguing for or against it based on those consequences.",Are the predicted consequences likely to occur if the action is taken? Are there other consequences (positive or negative) that haven’t been considered? Is the evaluation of the consequences as good or bad justified?,"If '<eventA>', will '<eventB>' occur? What evidence supports this claim? How likely are the consequences? What other consequences should also be taken into account if '<neg>' '<eventA>'?","Are the predicted consequences likely to occur if the action is taken? Are there other consequences (positive or negative) that haven’t been considered? Is the evaluation of the consequences as good or bad justified?

If '<eventA>', will '<eventB>' occur? What evidence supports this claim? How likely are the consequences? What other consequences should also be taken into account if '<neg>' '<eventA>'?"
PopularOpinion,POPULAR OPINION,This scheme argues that a proposition is true or should be accepted because it is widely believed by the majority.,Is the opinion truly held by a significant majority? Does the majority have reliable evidence or expertise to justify their belief? Could the majority be mistaken or influenced by bias?,"What evidence supports that '<eventA>' is generally accepted as true? Even if '<eventA>' is generally accepted as true, are there any good reasons for doubting that it is true?","Is the opinion truly held by a significant majority? Does the majority have reliable evidence or expertise to justify their belief? Could the majority be mistaken or influenced by bias?

What evidence supports that '<eventA>' is generally accepted as true? Even if '<eventA>' is generally accepted as true, are there any good reasons for doubting that it is true?"
Values,VALUE,"This scheme reasons that an action should be taken or avoided because it aligns with or conflicts with an agent’s values (e.g., ""V is good, so I should pursue G that promotes V"").",Is value V genuinely positive/negative as judged by the agent? Does pursuing V conflict with other values the agent holds? Is the link between the action and the promotion of V well-supported?,Is '<valueV>' seen as '<direction>' for most people? Are there reasons to believe that '<valueV>' is not '<direction>' in this situation? Will a subject that sees '<valueV>' as not '<direction>' agree with retaining commitment to '<goalG>'?,"Is value V genuinely positive/negative as judged by the agent? Does pursuing V conflict with other values the agent holds? Is the link between the action and the promotion of V well-supported?

Is '<valueV>' seen as '<direction>' for most people? Are there reasons to believe that '<valueV>' is not '<direction>' in this situation? Will a subject that sees '<valueV>' as not '<direction>' agree with retaining commitment to '<goalG>'?"
Analogy,ANALOGY,This scheme draws a conclusion about one case by comparing it to a similar case where the conclusion is known to hold.,Are the two cases sufficiently similar in relevant respects? Are there significant differences that undermine the analogy? Is the conclusion in the known case well-established?,"Are '<C1>' and '<C2>' similar in the respect cited? Is '<eventA>' true in '<C1>'? Are there differences between '<C1>' and '<C2>' that would tend to undermine the force of the similarity cited? Is there some other case that is also similar to '<C1>', but in which '<eventA>' is false?","Are the two cases sufficiently similar in relevant respects? Are there significant differences that undermine the analogy? Is the conclusion in the known case well-established?

Are '<C1>' and '<C2>' similar in the respect cited? Is '<eventA>' true in '<C1>'? Are there differences between '<C1>' and '<C2>' that would tend to undermine the force of the similarity cited? Is there some other case that is also similar to '<C1>', but in which '<eventA>' is false?"
Sign,SIGN,This scheme infers a conclusion based on an observable sign or indicator that suggests the presence of a condition or event.,Is the sign a reliable indicator of the conclusion? Could the sign be present without the conclusion being true? Are there alternative explanations for the sign?,Is there a proved relation between '<eventB>' and '<eventA>'? Are there any events other than '<eventB>' that would more reliably account for '<eventA>'?,"Is the sign a reliable indicator of the conclusion? Could the sign be present without the conclusion being true? Are there alternative explanations for the sign?

Is there a proved relation between '<eventB>' and '<eventA>'? Are there any events other than '<eventB>' that would more reliably account for '<eventA>'?"
FearAppeal,FEAR AND DANGER APPEALS,This scheme urges action or avoidance based on the fear of a harmful outcome if the action isn’t taken or is taken.,Is the feared outcome realistically likely to occur? Is the fear disproportionate to the evidence of danger? Are there other ways to mitigate the feared outcome without the proposed action?,Is '<eventB>' bad? Why and to whom is it bad? Is '<eventA>' a way to prevent '<eventB>'? Is it practically possible for '<eventA>' to happen? Are there other consequences from '<eventA>'?,"Is the feared outcome realistically likely to occur? Is the fear disproportionate to the evidence of danger? Are there other ways to mitigate the feared outcome without the proposed action?

Is '<eventB>' bad? Why and to whom is it bad? Is '<eventA>' a way to prevent '<eventB>'? Is it practically possible for '<eventA>' to happen? Are there other consequences from '<eventA>'?"
DangerAppeal,DANGER APPEAL,"This scheme warns against an action by citing a specific danger it poses, emphasizing risk avoidance.",Is the danger credible and supported by evidence? Could the danger be avoided through means other than the proposed action? Is the danger significant enough to justify the conclusion?,"If '<eventA>', will '<eventB>' occur? What evidence supports this claim? Why is '<eventB>' a danger? To whom is '<eventB>' a danger? Is there a way of preventing '<eventA>'? Are there other consequences of preventing '<eventA>' that we should take into account?","Is the danger credible and supported by evidence? Could the danger be avoided through means other than the proposed action? Is the danger significant enough to justify the conclusion?

If '<eventA>', will '<eventB>' occur? What evidence supports this claim? Why is '<eventB>' a danger? To whom is '<eventB>' a danger? Is there a way of preventing '<eventA>'? Are there other consequences of preventing '<eventA>' that we should take into account?"
